UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW
210599,2,  1,"R",626,"R",577,"R",49,"Z",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"R",457,"R",426,"R",31,"R",57,"R",53,"R",4,"R",1,"R",1,"Z",0,"R",87,"R",78,"R",9,"R",5,"R",3,"R",2,"R",16,"R",13,"R",3,"Z",0,"Z",0,"Z",0
210605,1,999,"R",26337,"R",12013,"R",14324,"R",111,"R",43,"R",68,"R",817,"R",372,"R",445,"R",4279,"R",1513,"R",2766,"R",830,"R",329,"R",501,"R",24,"R",9,"R",15,"R",15679,"R",7130,"R",8549,"R",624,"R",232,"R",392,"R",3969,"R",2383,"R",1586,"R",4,"R",2,"R",2
210605,2,  1,"R",26337,"R",12013,"R",14324,"R",111,"R",43,"R",68,"R",817,"R",372,"R",445,"R",4279,"R",1513,"R",2766,"R",830,"R",329,"R",501,"R",24,"R",9,"R",15,"R",15679,"R",7130,"R",8549,"R",624,"R",232,"R",392,"R",3969,"R",2383,"R",1586,"R",4,"R",2,"R",2
210669,1,999,"R",1859,"R",842,"R",1017,"R",1,"R",0,"R",1,"R",51,"R",25,"R",26,"R",161,"R",80,"R",81,"R",160,"R",75,"R",85,"R",2,"R",1,"R",1,"R",1296,"R",566,"R",730,"R",76,"R",36,"R",40,"R",47,"R",23,"R",24,"R",65,"R",36,"R",29
210669,2,  1,"R",1859,"R",842,"R",1017,"R",1,"R",0,"R",1,"R",51,"R",25,"R",26,"R",161,"R",80,"R",81,"R",160,"R",75,"R",85,"R",2,"R",1,"R",1,"R",1296,"R",566,"R",730,"R",76,"R",36,"R",40,"R",47,"R",23,"R",24,"R",65,"R",36,"R",29
210711,1,999,"R",107,"R",10,"R",97,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"R",15,"R",1,"R",14,"R",37,"R",2,"R",35,"Z",0,"Z",0,"Z",0,"R",42,"R",2,"R",40,"R",6,"R",3,"R",3,"R",5,"R",2,"R",3,"Z",0,"Z",0,"Z",0
210711,2,  1,"R",107,"R",10,"R",97,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"R",15,"R",1,"R",14,"R",37,"R",2,"R",35,"Z",0,"Z",0,"Z",0,"R",42,"R",2,"R",40,"R",6,"R",3,"R",3,"R",5,"R",2,"R",3,"Z",0,"Z",0,"Z",0
210739,1,999,"R",4225,"R",1544,"R",2681,"R",2,"R",0,"R",2,"R",123,"R",37,"R",86,"R",189,"R",69,"R",120,"R",468,"R",162,"R",306,"R",3,"R",2,"R",1,"R",2923,"R",1113,"R",1810,"R",97,"R",36,"R",61,"R",407,"R",117,"R",290,"R",13,"R",8,"R",5
210739,2,  1,"R",2849,"R",1046,"R",1803,"R",1,"R",0,"R",1,"R",74,"R",19,"R",55,"R",138,"R",48,"R",90,"R",382,"R",134,"R",248,"R",3,"R",2,"R",1,"R",1875,"R",717,"R",1158,"R",75,"R",30,"R",45,"R",293,"R",90,"R",203,"R",8,"R",6,"R",2
210739,4,  3,"R",1376,"R",498,"R",878,"R",1,"R",0,"R",1,"R",49,"R",18,"R",31,"R",51,"R",21,"R",30,"R",86,"R",28,"R",58,"R",0,"R",0,"R",0,"R",1048,"R",396,"R",652,"R",22,"R",6,"R",16,"R",114,"R",27,"R",87,"R",5,"R",2,"R",3
210748,1,999,"R",90,"R",3,"R",87,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",2,"R",0,"R",2,"R",2,"R",0,"R",2,"R",1,"R",0,"R",1,"R",82,"R",3,"R",79,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0
210748,2,  1,"R",90,"R",3,"R",87,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",2,"R",0,"R",2,"R",2,"R",0,"R",2,"R",1,"R",0,"R",1,"R",82,"R",3,"R",79,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0
210775,1,999,"R",3457,"R",1003,"R",2454,"R",9,"R",4,"R",5,"R",63,"R",12,"R",51,"R",355,"R",101,"R",254,"R",290,"R",71,"R",219,"Z",0,"Z",0,"Z",0,"R",2400,"R",702,"R",1698,"R",74,"R",26,"R",48,"R",246,"R",78,"R",168,"R",20,"R",9,"R",11
210775,2,  1,"R",2730,"R",766,"R",1964,"R",8,"R",3,"R",5,"R",52,"R",10,"R",42,"R",283,"R",84,"R",199,"R",257,"R",63,"R",194,"Z",0,"Z",0,"Z",0,"R",1891,"R",537,"R",1354,"R",67,"R",23,"R",44,"R",163,"R",44,"R",119,"R",9,"R",2,"R",7
210775,4,  3,"R",727,"R",237,"R",490,"R",1,"R",1,"Z",0,"R",11,"R",2,"R",9,"R",72,"R",17,"R",55,"R",33,"R",8,"R",25,"Z",0,"Z",0,"Z",0,"R",509,"R",165,"R",344,"R",7,"R",3,"R",4,"R",83,"R",34,"R",49,"R",11,"R",7,"R",4
210784,1,999,"R",299,"R",16,"R",283,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"R",6,"R",102,"R",6,"R",96,"R",30,"R",3,"R",27,"Z",0,"Z",0,"Z",0,"R",149,"R",6,"R",143,"R",6,"Z",0,"R",6,"R",6,"R",1,"R",5,"Z",0,"Z",0,"Z",0
