UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03   
460020,"R",802373,"R",0,"R",354275,"R",0,"R",2634650,"R",0,"R",-1832277,"R",802373,"R",0,"R",1580673,"R",964183,"R",2531,"R",0,"R",2547387,"R",2193112,"R",354275,"R",5270973,"R",5338083,"R",0,"R",-67110,"R",0,"R",-1765167,"R",0,"R",-1832277,"R",1610332,"R",31500,"R",21133,"R",21133,"R",0,"R",142145,"R",1805110,"R",142145,"R",0,"R",142145,"R",5270594,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",54,"R",325,"R",0,"A",,"R",0,"R",5270973,"R",2368643,"R",1771253,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1105406,"R",296935,"R",1864034,"R",198447,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",0,"R",0,"R",5338083,"R",2266635,"R",201639,"R",455334,"R",170674,"R",0,"R",2243801,"R",0,"R",2640, 3
460093,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",447970,"Z",0,"R",79078,"Z",0,"R",79078,"R",27007,"R",554055,"Z",0,"Z",0,"Z",0,"R",1507591,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",0,"R",1507591,"R",377979,"R",151191,"Z",0,"Z",0,"Z",0,"Z",0,"R",125993,"R",50397,"R",125993,"R",50397,"R",629964,"R",251987,"A",,"A",,"Z",0,"A",,"A",,"R",0,"R",0,"R",1259929,"R",503972,"R",62996,"R",172065,"Z",0,"Z",0,"R",520896,"A",,"A",,-2
460109,"R",1212521,"Z",0,"R",50991,"Z",0,"R",10147970,"Z",0,"R",-8935449,"R",1212521,"R",0,"R",0,"R",402564,"Z",0,"Z",0,"R",402564,"R",351573,"R",50991,"R",2110414,"R",1715011,"R",0,"R",395403,"Z",0,"R",-8523249,"R",-807603,"R",-8935449,"R",699768,"Z",0,"R",5356,"Z",0,"R",5356,"R",56363,"R",761487,"Z",0,"Z",0,"Z",0,"R",2110414,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",0,"R",2110414,"R",514503,"R",205801,"Z",0,"Z",0,"Z",0,"Z",0,"R",171501,"R",68600,"R",171501,"R",68600,"R",857506,"R",343003,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",0,"R",0,"R",1715011,"R",686004,"R",85751,"R",197921,"Z",0,"Z",0,"R",745335,"A",,"A",,-2
460118,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",784068,"Z",0,"R",112607,"Z",0,"R",112607,"R",50396,"R",947071,"Z",0,"Z",0,"Z",0,"R",2042870,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",0,"R",2042870,"R",475121,"R",190048,"Z",0,"Z",0,"Z",0,"Z",0,"R",158374,"R",63349,"R",158374,"R",63349,"R",791868,"R",316749,"A",,"A",,"Z",0,"A",,"A",,"R",0,"R",0,"R",1583737,"R",633495,"R",79187,"R",210649,"Z",0,"Z",0,"R",660406,"A",,"A",,-2
460127,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",503468,"R",0,"R",15740,"R",0,"R",15740,"R",30728,"R",549936,"Z",0,"Z",0,"Z",0,"R",1690944,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",0,"R",1690944,"R",383076,"R",153230,"Z",0,"Z",0,"Z",0,"Z",0,"R",127692,"R",51077,"R",127692,"R",51077,"R",638460,"R",255384,"A",,"A",,"Z",0,"A",,"A",,"R",0,"R",0,"R",1276920,"R",510768,"R",63846,"R",157032,"Z",0,"Z",0,"R",545274,"A",,"A",,-2
460136,"R",9178135,"Z",0,"R",1131557,"Z",0,"R",8979221,"Z",0,"R",198914,"R",9178135,"Z",0,"R",2302039,"R",2074588,"Z",0,"Z",0,"R",4376627,"R",3245070,"R",1131557,"R",13234649,"R",13080057,"R",0,"R",154592,"R",-10377,"R",54699,"R",0,"R",198914,"R",2403622,"R",47375,"Z",0,"Z",0,"Z",0,"R",9658,"R",2460655,"Z",0,"Z",0,"Z",0,"R",10727775,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9658,"R",925,"R",45294,"Z",0,"A",,"R",2450997,"R",13234649,"R",5843445,"R",3329322,"Z",0,"Z",0,"Z",0,"Z",0,"R",392586,"R",332932,"R",2755004,"R",1016917,"R",4079364,"R",754238,"Z",0,"Z",0,"R",9658,"A",,"A",,"R",0,"R",0,"R",13080057,"R",5433409,"R",1672086,"R",1469211,"R",544155,"Z",0,"R",3961196,"A",,"A",,-2
460145,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",901890,"R",107596,"R",0,"R",0,"R",0,"R",16358,"R",1025844,"R",0,"R",0,"R",0,"R",3458609,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"R",0,"R",3458609,"R",450046,"R",438280,"R",0,"R",0,"R",0,"R",0,"R",152061,"R",148085,"R",291553,"R",282803,"R",689949,"R",279138,"A",,"A",,"R",0,"A",,"A",,"R",1265278,"R",25923,"R",2848887,"R",1174229,"R",31525,"R",99983,"R",107502,"R",0,"R",1435648,"A",,"A",,-2
460172,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1756579,"R",34700,"R",0,"R",0,"R",0,"R",0,"R",1791279,"R",0,"R",0,"R",0,"R",8486155,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"R",15983,"R",8502138,"R",3472456,"R",1663545,"R",0,"R",0,"R",0,"R",0,"R",870844,"R",595064,"R",883098,"R",585294,"R",398704,"R",277393,"A",,"A",,"R",0,"A",,"A",,"R",1551184,"R",0,"R",7176286,"R",3121296,"R",737549,"R",615304,"R",227885,"R",0,"R",2474252,"A",,"A",,-2
460181,"R",3820000,"R",0,"R",1452000,"R",0,"R",1512000,"R",0,"R",2308000,"R",3820000,"R",0,"R",2534000,"R",1797000,"R",0,"R",24000,"R",4355000,"R",2903000,"R",1452000,"R",13416000,"R",11108000,"R",0,"R",2308000,"R",0,"R",1612000,"R",-1612000,"R",2308000,"R",2692000,"R",69000,"R",45000,"R",0,"R",45000,"R",10000,"R",2816000,"R",10000,"R",0,"R",10000,"R",10585000,"R",2762000,"R",0,"R",2762000,"R",45000,"R",0,"R",45000,"R",0,"R",0,"R",0,"R",0,"R",24000,"R",0,"A",,"R",0,"R",13416000,"R",3729000,"R",2824000,"R",0,"R",0,"R",0,"R",0,"R",206000,"R",203000,"R",988000,"R",961000,"R",6185000,"R",778000,"R",0,"R",0,"R",0,"A",,"A",,"R",0,"R",0,"R",11108000,"R",4766000,"R",449000,"R",1544000,"R",321000,"R",0,"R",4028000,"R",2151000,"R",0, 1
460190,"R",2066000,"R",0,"R",555000,"R",0,"R",2152000,"R",0,"R",-86000,"R",2066000,"R",0,"R",922000,"R",1179000,"R",0,"R",14000,"R",2115000,"R",1560000,"R",555000,"R",6636000,"R",6721000,"R",0,"R",-85000,"R",0,"R",209000,"R",-210000,"R",-86000,"R",1794000,"R",32000,"R",42000,"R",0,"R",42000,"R",5000,"R",1873000,"R",5000,"R",0,"R",5000,"R",4746000,"R",1826000,"R",0,"R",1826000,"R",42000,"R",0,"R",0,"R",0,"R",42000,"R",0,"R",0,"R",22000,"R",0,"A",,"R",0,"R",6636000,"R",1760000,"R",1315000,"R",0,"R",0,"R",0,"R",0,"R",185000,"R",182000,"R",675000,"R",667000,"R",4101000,"R",557000,"R",0,"R",0,"R",0,"A",,"A",,"R",0,"R",0,"R",6721000,"R",2721000,"R",252000,"R",1070000,"R",172000,"R",0,"R",2506000,"R",2151000,"R",0, 1
