Country of Giftor,Institution Name,ID,OPEID,City,State,Foreign Gift Received Date,Foreign Gift Amount,Gift Type,Giftor Name,Country to merge on,Rank,Score,Electoral process and pluralism,Functioning of government,Political participation,Political culture,Civil liberties,Regime type,Region
Argentina,Massachusetts Institute of Technology,9079,217800,Cambridge,MA,2016-12-14,500000,Monetary Gift,AEROPUERTOS ARGENTINA 2000,Argentina,48.0,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,Latin America
Argentina,Stanford University,13034,130500,Stanford,CA,2013-06-03,300000,Monetary Gift,,Argentina,48.0,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,Latin America
Argentina,Stanford University,13041,130500,Stanford,CA,2014-09-19,300000,Monetary Gift,,Argentina,48.0,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,Latin America
Argentina,Stanford University,13051,130500,Stanford,CA,2015-12-18,300000,Monetary Gift,,Argentina,48.0,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,Latin America
Argentina,Stanford University,13093,130500,Stanford,CA,2016-12-01,300000,Monetary Gift,,Argentina,48.0,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,Latin America
Argentina,Stanford University,13164,130500,Stanford,CA,2012-03-27,380000,Monetary Gift,,Argentina,48.0,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,Latin America
Argentina,University of Notre Dame,19985,184000,Notre Dame,IN,2017-12-04,200000,Monetary Gift,CAF,Argentina,48.0,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,Latin America
Armenia,Johns Hopkins University,8398,207700,Baltimore,MD,2018-03-01,300,Monetary Gift,,Armenia,86.0,5.54,7.5,5.36,6.11,3.13,5.59,Hybrid regime,Eastern Europe
Australia,Arizona State University,233,108100,Tempe,AZ,2016-04-01,299975,Monetary Gift,Cure Brain Cancer Foundation,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Arizona State University,234,108100,Tempe,AZ,2016-04-01,299975,Monetary Gift,Cure Brain Cancer Foundation,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Arizona State University,235,108100,Tempe,AZ,2016-06-23,299975,Monetary Gift,Cure Brain Cancer Foundation,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Arizona State University,236,108100,Tempe,AZ,2016-06-23,299975,Monetary Gift,Pure Brain Cancer Foundation,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Boston University,835,213000,Boston,MA,2012-06-30,250000,Contract,Commonwealth Scientific and Industr,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,California Institute of Technology,14342,113100,Pasadena,CA,2016-01-31,8491,Contract,The University of Melbourne,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Columbia University in the City of New York,5897,270700,New York,NY,2015-04-10,100000,Monetary Gift,Lowy Medical Research Institute,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Columbia University in the City of New York,6715,270700,New York,NY,2018-10-05,251422,Contract,The Lowy Medical Research Institute,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Columbia University in the City of New York,7448,270700,New York,NY,2015-01-23,209275,Contract,Australian Ministry Foreign Affairs,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Columbia University in the City of New York,12108,270700,New York,NY,2018-12-07,31200,Contract,The Lowy Medical Research Institute,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Columbia University in the City of New York,12299,270700,New York,NY,2018-08-26,28500,Contract,The Lowy Medical Research Institute,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Cornell University,1531,271100,Ithaca,NY,2015-09-16,1024159,Contract,University of Queensland,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Duke University,3744,292000,Durham,NC,2015-06-30,489243,Monetary Gift,CSL Limited,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Duke University,4883,292000,Durham,NC,2014-12-31,360711,Contract,CSL limited,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Emory University,6646,156400,Atlanta,GA,2014-04-25,255184,Contract,Murdoch Children's Research Institu,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,George Mason University,11487,374900,Fairfax,VA,2017-08-28,44950,Contract,Melbourne Polytechnic University,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,George Washington University,2645,144400,Washington,DC,2015-06-30,653557,Contract,Commonwealth of Australia,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
